batch	kind	accession	file_level	n_sample_rows	n_papers	dois	file_format	page_url	example_download_url	dest_dir	how	skip_reason
E	GSE	GSE141259	Level 2	8	1	10.1016/j.heliyon.2023.e22461	mtx matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141259		data/GSE/GSE141259	python3 download_geo.py	
E	GSE	GSE141730	Level 2	3	1	10.1016/j.celrep.2025.115240	h5 matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE141730		data/GSE/GSE141730	python3 download_geo.py	
E	GSE	GSE142044	Level 2	8	1	10.1038/s41467-025-58614-8	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142044		data/GSE/GSE142044	python3 download_geo.py	
E	GSE	GSE142789	Level 2	8	1	10.1038/s41467-025-58614-8	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142789		data/GSE/GSE142789	python3 download_geo.py	
E	GSE	GSE143758	Level 2	8	1	10.1002/advs.202410081	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE143758		data/GSE/GSE143758	python3 download_geo.py	
E	GSE	GSE144	Level 2	1	1	10.1038/s41592-024-02284-9	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144		data/GSE/GSE144	python3 download_geo.py	
E	GSE	GSE144136	Level 1+2	32	4	10.1002/advs.202413124; 10.1002/advs.202516178; 10.1038/s41467-023-36796-3; 10.1186/s13059-025-03895-x	mtx matrix (GEO); FASTQ (mentioned in GEO record)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144136		data/GSE/GSE144136	python3 download_geo.py	
E	GSE	GSE145926	Level 2	8	1	10.1038/s41592-024-02380-w	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE145926		data/GSE/GSE145926	python3 download_geo.py	
E	GSE	GSE146035	Level 2	6	1	10.1016/j.celrep.2025.115240	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE146035		data/GSE/GSE146035	python3 download_geo.py	
E	GSE	GSE147298	Level 2	8	1	10.1038/s42003-025-08502-0	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE147298		data/GSE/GSE147298	python3 download_geo.py	
E	GSE	GSE147747	Level 2	24	3	10.1002/imt2.70084; 10.1038/s41467-023-43220-3; 10.1038/s42003-025-08810-5	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE147747		data/GSE/GSE147747	python3 download_geo.py	
E	GSE	GSE148071	Level 2	8	1	10.1126/sciadv.ady8546	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148071		data/GSE/GSE148071	python3 download_geo.py	
E	GSE	GSE1482	Level 2	8	1	10.1002/advs.202407221	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE1482		data/GSE/GSE1482	python3 download_geo.py	
E	GSE	GSE148241	Level 2	8	1	10.1002/advs.202407221	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE148241		data/GSE/GSE148241	python3 download_geo.py	
E	GSE	GSE149457	Level 2	8	1	10.1038/s41467-022-31739-w	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE149457		data/GSE/GSE149457	python3 download_geo.py	
E	GSE	GSE151798	Level 2	8	1	10.1038/s41586-025-08880-9	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE151798		data/GSE/GSE151798	python3 download_geo.py	
E	GSE	GSE153369	Level 2	8	1	10.1186/s12974-024-03161-0	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153369		data/GSE/GSE153369	python3 download_geo.py	
E	GSE	GSE153481	Level 2	8	1	10.1038/s41467-025-59070-0	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE153481		data/GSE/GSE153481	python3 download_geo.py	
E	GSE	GSE154107	Level 2	1	1	10.1186/s13059-023-03145-y	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE154107		data/GSE/GSE154107	python3 download_geo.py	
E	GSE	GSE155543	Level 2	4	1	10.1038/s41467-026-69518-6	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155543		data/GSE/GSE155543	python3 download_geo.py	
E	GSE	GSE156053	Level 2	8	1	10.1016/j.xcrm.2024.101914	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156053		data/GSE/GSE156053	python3 download_geo.py	
E	GSE	GSE156125	Level 2	8	1	10.1038/s41421-024-00740-6	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156125		data/GSE/GSE156125	python3 download_geo.py	
E	GSE	GSE157007	Level 2	8	1	10.1126/sciadv.aeb5599	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157007		data/GSE/GSE157007	python3 download_geo.py	
E	GSE	GSE158055	Level 2	8	1	10.1038/s41467-024-54821-x	h5 matrix (GEO); mtx matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158055		data/GSE/GSE158055	python3 download_geo.py	
E	GSE	GSE158127	Level 2	8	1	10.1126/sciadv.adz1519	h5ad matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158127		data/GSE/GSE158127	python3 download_geo.py	
E	GSE	GSE158328	Level 2	8	1	10.1002/imt2.70084	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158328		data/GSE/GSE158328	python3 download_geo.py	
E	GSE	GSE158450	Level 2	8	1	10.1186/s13059-023-03145-y	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158450		data/GSE/GSE158450	python3 download_geo.py	
E	GSE	GSE158485	Level 2	8	1	10.1038/s41556-026-01925-9	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158485		data/GSE/GSE158485	python3 download_geo.py	
E	GSE	GSE158866	Level 2	2	1	10.1136/egastro-2025-100202	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158866		data/GSE/GSE158866	python3 download_geo.py	
E	GSE	GSE158873	Level 2	4	1	10.1136/egastro-2025-100202	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158873		data/GSE/GSE158873	python3 download_geo.py	
E	GSE	GSE161465	Level 2	6	1	10.1038/s41592-024-02380-w	h5ad matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE161465		data/GSE/GSE161465	python3 download_geo.py	
E	GSE	GSE162545	Level 2	8	1	10.7150/ijbs.100941	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE162545		data/GSE/GSE162545	python3 download_geo.py	
E	GSE	GSE165141	Level 2	8	1	10.1038/s41467-026-69346-8	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165141		data/GSE/GSE165141	python3 download_geo.py	
E	GSE	GSE166504	Level 2	8	1	10.1126/sciadv.abq0990	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE166504		data/GSE/GSE166504	python3 download_geo.py	
E	GSE	GSE169021	Level 2	8	1	10.1038/s41467-026-68500-6	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169021		data/GSE/GSE169021	python3 download_geo.py	
E	GSE	GSE169706	Level 2	8	2	10.1038/s41467-025-64867-0; 10.1038/s41467-026-69346-8	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169706		data/GSE/GSE169706	python3 download_geo.py	
E	GSE	GSE169749	Level 2	2	1	10.1038/s41467-023-42343-x	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE169749		data/GSE/GSE169749	python3 download_geo.py	
E	GSE	GSE171524	Level 2	8	1	10.1002/mco2.70713	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171524		data/GSE/GSE171524	python3 download_geo.py	
E	GSE	GSE171943	Level 2	16	2	10.1016/j.crmeth.2025.101241; 10.1038/s41467-025-60575-x	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171943		data/GSE/GSE171943	python3 download_geo.py	
E	GSE	GSE172302	Level 2	8	1	10.1016/j.celrep.2025.115240	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE172302		data/GSE/GSE172302	python3 download_geo.py	
E	GSE	GSE173778	Level 2	8	1	10.1371/journal.pcbi.1013354	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE173778		data/GSE/GSE173778	python3 download_geo.py	
E	GSE	GSE173947	Level 2	8	1	10.1016/j.cell.2026.03.051	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE173947		data/GSE/GSE173947	python3 download_geo.py	
E	GSE	GSE174440	Level 2	8	1	10.1016/j.xcrm.2025.102140	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE174440		data/GSE/GSE174440	python3 download_geo.py	
E	GSE	GSE175540	Level 2	8	1	10.1002/ctm2.70396	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE175540		data/GSE/GSE175540	python3 download_geo.py	
E	GSE	GSE176078	Level 2	32	4	10.1038/s41467-025-58511-0; 10.1038/s41467-025-60575-x; 10.1038/s41467-026-70069-z; 10.1186/s13059-025-03895-x	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE176078		data/GSE/GSE176078	python3 download_geo.py	
E	GSE	GSE178758	Level 2	8	1	10.1038/s41467-024-54821-x	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE178758		data/GSE/GSE178758	python3 download_geo.py	
E	GSE	GSE182997	Level 2	8	1	10.7554/eLife.85873	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE182997		data/GSE/GSE182997	python3 download_geo.py	
E	GSE	GSE183904	Level 2	8	1	10.1158/2159-8290.CD-24-0605	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183904		data/GSE/GSE183904	python3 download_geo.py	
E	GSE	GSE183916	Level 2	6	1	10.1038/s41556-025-01838-z	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE183916		data/GSE/GSE183916	python3 download_geo.py	
E	GSE	GSE18391674	Level 2	1	1	10.1038/s41556-025-01838-z	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE18391674		data/GSE/GSE18391674	python3 download_geo.py	
E	GSE	GSE185261	Level 2	8	1	10.1073/pnas.2417445122	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185261		data/GSE/GSE185261	python3 download_geo.py	
E	GSE	GSE186068	Level 2	16	2	10.1038/s41467-023-40155-7; 10.3389/fnins.2023.1170355	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186068		data/GSE/GSE186068	python3 download_geo.py	
E	GSE	GSE186069	Level 2	8	1	10.3389/fnins.2023.1170355	mtx matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186069		data/GSE/GSE186069	python3 download_geo.py	
E	GSE	GSE188715	Level 2	8	1	10.3389/fimmu.2024.1522582	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE188715		data/GSE/GSE188715	python3 download_geo.py	
E	GSE	GSE188888	Level 2	4	1	10.1038/s41467-025-59070-0	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE188888		data/GSE/GSE188888	python3 download_geo.py	
E	GSE	GSE189357	Level 2	8	1	10.1126/sciadv.ady8546	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189357		data/GSE/GSE189357	python3 download_geo.py	
E	GSE	GSE190225	Level 2	6	1	10.1093/bib/bbae052	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190225		data/GSE/GSE190225	python3 download_geo.py	
E	GSE	GSE190604	Level 2	8	1	10.1093/bioinformatics/btae466	mtx matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190604		data/GSE/GSE190604	python3 download_geo.py	
E	GSE	GSE190940	Level 2	16	2	10.1093/bib/bbae250; 10.1093/nsr/nwaf030	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE190940		data/GSE/GSE190940	python3 download_geo.py	
E	GSE	GSE192741	Level 2	8	1	10.1038/s41467-026-69346-8	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE192741		data/GSE/GSE192741	python3 download_geo.py	
E	GSE	GSE193346	Level 2	7	1	10.1038/s41467-023-40155-7	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE193346		data/GSE/GSE193346	python3 download_geo.py	
E	GSE	GSE196716	Level 2	8	1	10.1038/s41556-026-01925-9	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE196716		data/GSE/GSE196716	python3 download_geo.py	
E	GSE	GSE19671664	Level 2	1	1	10.1038/s41556-026-01925-9	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE19671664		data/GSE/GSE19671664	python3 download_geo.py	
E	GSE	GSE197353	Level 2	8	1	10.1186/s13059-025-03895-x	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197353		data/GSE/GSE197353	python3 download_geo.py	
E	GSE	GSE198353	Level 2	18	3	10.1038/s41467-026-70821-5; 10.1038/s41592-024-02316-4; 10.1101/gr.280584.125	h5 matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198353		data/GSE/GSE198353	python3 download_geo.py	
E	GSE	GSE198373	Level 2	8	1	10.1038/s41586-026-10316-x	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE198373		data/GSE/GSE198373	python3 download_geo.py	
E	GSE	GSE199308	Level 2	8	1	10.1038/s41586-023-06548-w	mtx matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE199308		data/GSE/GSE199308	python3 download_geo.py	
E	GSE	GSE202601	Level 2	8	1	10.1111/acel.70288	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202601		data/GSE/GSE202601	python3 download_geo.py	
E	GSE	GSE202920	Level 2	3	1	10.1038/s41467-026-69894-z	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202920		data/GSE/GSE202920	python3 download_geo.py	
E	GSE	GSE203507	Level 2	8	1	10.1002/advs.202407221	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203507		data/GSE/GSE203507	python3 download_geo.py	
E	GSE	GSE204684	Level 2	8	1	10.1038/s41586-026-10316-x	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE204684		data/GSE/GSE204684	python3 download_geo.py	
E	GSE	GSE205055	Level 2	40	5	10.1038/s41467-026-68500-6; 10.1038/s41467-026-70821-5; 10.1038/s41592-025-02817-w; 10.1093/bib/bbaf674; 10.1093/bioinformatics/btae466	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205055		data/GSE/GSE205055	python3 download_geo.py	
E	GSE	GSE20514	Level 2	4	1	10.1186/s12974-024-03161-0	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE20514		data/GSE/GSE20514	python3 download_geo.py	
E	GSE	GSE205140	Level 2	8	1	10.1186/s12974-024-03161-0	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205140		data/GSE/GSE205140	python3 download_geo.py	
E	GSE	GSE205448	Level 2	3	1	10.1038/s41467-026-70232-6	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205448		data/GSE/GSE205448	python3 download_geo.py	
E	GSE	GSE206245	Level 2	8	1	10.1038/s41467-026-68500-6	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206245		data/GSE/GSE206245	python3 download_geo.py	
E	GSE	GSE207422	Level 2	8	1	10.1038/s41421-025-00861-6	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207422		data/GSE/GSE207422	python3 download_geo.py	
E	GSE	GSE207592	Level 2	8	1	10.1038/s41586-022-05242-7	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE207592		data/GSE/GSE207592	python3 download_geo.py	
E	GSE	GSE211485	Level 2	8	1	10.1186/s12943-025-02231-y	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE211485		data/GSE/GSE211485	python3 download_geo.py	
E	GSE	GSE212505	Level 2	8	1	10.1038/s41586-026-10316-x	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212505		data/GSE/GSE212505	python3 download_geo.py	
E	GSE	GSE212890	Level 2	8	1	10.1002/mco2.70713	mtx matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE212890		data/GSE/GSE212890	python3 download_geo.py	
E	GSE	GSE213264	Level 2	16	2	10.1038/s42003-025-09340-w; 10.1101/gr.280584.125	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213264		data/GSE/GSE213264	python3 download_geo.py	
E	GSE	GSE213516	Level 2	8	1	10.1126/sciadv.aeb5599	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213516		data/GSE/GSE213516	python3 download_geo.py	
E	GSE	GSE213688	Level 2	8	1	10.1038/s42003-025-08015-w	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE213688		data/GSE/GSE213688	python3 download_geo.py	
E	GSE	GSE220830	Level 2	4	1	10.1038/s41467-026-68596-w	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220830		data/GSE/GSE220830	python3 download_geo.py	
E	GSE	GSE221571	Level 2	8	1	10.1016/j.fmre.2025.04.014	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE221571		data/GSE/GSE221571	python3 download_geo.py	
E	GSE	GSE222383	Level 2	1	1	10.3389/fcell.2023.1112062	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222383		data/GSE/GSE222383	python3 download_geo.py	
E	GSE	GSE222987	Level 2	8	1	10.1002/mco2.70713	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE222987		data/GSE/GSE222987	python3 download_geo.py	
E	GSE	GSE223751	Level 2	7	1	10.7554/eLife.85873	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE223751		data/GSE/GSE223751	python3 download_geo.py	
E	GSE	GSE225857	Level 2	8	1	10.1101/gr.280532.125	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE225857		data/GSE/GSE225857	python3 download_geo.py	
E	GSE	GSE231496	Level 2	1	1	10.1093/bioinformatics/btag333	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE231496		data/GSE/GSE231496	python3 download_geo.py	
E	GSE	GSE232309	Level 2	8	1	10.1111/acel.70288	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE232309		data/GSE/GSE232309	python3 download_geo.py	
E	GSE	GSE233254	Level 2	8	1	10.1186/s13059-026-04063-5	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233254		data/GSE/GSE233254	python3 download_geo.py	
E	GSE	GSE23329	Level 2	8	1	10.1186/s13059-026-04063-5	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE23329		data/GSE/GSE23329	python3 download_geo.py	
E	GSE	GSE233293	Level 2	8	1	10.1186/s13059-026-04063-5	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE233293		data/GSE/GSE233293	python3 download_geo.py	
E	GSE	GSE235495	Level 2	4	1	10.1111/nph.70160	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE235495		data/GSE/GSE235495	python3 download_geo.py	
E	GSE	GSE236475	Level 2	8	1	10.1126/sciadv.adi4777	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236475		data/GSE/GSE236475	python3 download_geo.py	
E	GSE	GSE237308	Level 2	8	1	10.1038/s41467-023-40155-7	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237308		data/GSE/GSE237308	python3 download_geo.py	
E	GSE	GSE237915	Level 2	8	1	10.1038/s41467-026-70047-5	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE237915		data/GSE/GSE237915	python3 download_geo.py	
E	GSE	GSE239542	Level 2	1	1	10.1038/s41592-024-02380-w	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE239542		data/GSE/GSE239542	python3 download_geo.py	
E	GSE	GSE240271	Level 2	8	1	10.1038/s42003-026-09898-z	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE240271		data/GSE/GSE240271	python3 download_geo.py	
E	GSE	GSE245469	Level 2	4	1	10.1038/s41467-026-70232-6	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE245469		data/GSE/GSE245469	python3 download_geo.py	
E	GSE	GSE246611	Level 2	8	1	10.1016/j.crmeth.2024.100763	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246611		data/GSE/GSE246611	python3 download_geo.py	
E	GSE	GSE246791	Level 1+2	8	1	10.1038/s41467-026-70497-x	h5ad matrix (GEO); FASTQ (mentioned in GEO record)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246791		data/GSE/GSE246791	python3 download_geo.py	
E	GSE	GSE251926	Level 2	8	1	10.1093/nargab/lqaf044	h5ad matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE251926		data/GSE/GSE251926	python3 download_geo.py	
E	GSE	GSE252228	Level 2	8	1	10.1186/s13059-025-03630-6	h5 matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE252228		data/GSE/GSE252228	python3 download_geo.py	
E	GSE	GSE254652	Level 2	8	1	10.1093/nargab/lqaf167	mtx matrix (GEO)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE254652		data/GSE/GSE254652	python3 download_geo.py	
E	GSE	GSE255690	Level 2	8	1	10.1186/s12916-026-04757-4	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE255690		data/GSE/GSE255690	python3 download_geo.py	
E	GSE	GSE25624	Level 2	8	1	10.1158/0008-5472.CAN-24-1509	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE25624		data/GSE/GSE25624	python3 download_geo.py	
E	GSE	GSE256318	Level 2	7	1	10.1016/j.crmeth.2024.100831	GEO Series supplementary / expression matrices (typical; verify on page)	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE256318		data/GSE/GSE256318	python3 download_geo.py	
