batch	kind	accession	file_level	n_sample_rows	n_papers	dois	file_format	page_url	example_download_url	dest_dir	how	skip_reason
D	CNP	CNP0003197	Level 1+2	1	1	10.1038/s41467-025-58614-8	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0003197/		data/CNP/CNP0003197	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0003361	Level 1+2	1	1	10.1002/ctm2.1515	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0003361/		data/CNP/CNP0003361	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0003724	Level 1+2	1	1	10.1002/imt2.70097	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0003724/		data/CNP/CNP0003724	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0003986	Level 1+2	1	1	10.1073/pnas.2310163120	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0003986/		data/CNP/CNP0003986	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0004138	Level 2	1	1	10.1016/j.xcrm.2023.101231	expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0004138/		data/CNP/CNP0004138	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0004192	Level 1+2	1	1	10.1016/j.isci.2024.108941	FASTQ / raw sequence reads (CNSA); expression matrix/h5ad/gef	https://db.cngb.org/data_resources/project/CNP0004192/		data/CNP/CNP0004192	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0004214	Level 1+2	1	1	10.1038/s41421-024-00747-z	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0004214/		data/CNP/CNP0004214	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0004228	Level 1+2	2	2	10.1038/s41467-026-69290-7; 10.1126/sciadv.adi9035	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0004228/		data/CNP/CNP0004228	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0004319	Level 2	1	1	10.1038/s41467-025-58511-0	expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0004319/		data/CNP/CNP0004319	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0004336	Level 1+2	1	1	10.1038/s41467-024-50737-8	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0004336/		data/CNP/CNP0004336	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0004437	Level 1+2	2	2	10.1038/s41467-025-62988-0; 10.46471/gigabyte.111	FASTQ / raw sequence reads (CNSA); expression matrix/h5ad/gef	https://db.cngb.org/data_resources/project/CNP0004437/		data/CNP/CNP0004437	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0004708	Level 1+2	2	2	10.1016/j.crmeth.2025.101205; 10.1016/j.isci.2024.109009	FASTQ / raw sequence reads (CNSA); expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0004708/		data/CNP/CNP0004708	login CNGBdb; processed matrices only (skip FASTQ)	
D	CNP	CNP0004755	Level 2	1	1	10.1016/j.gendis.2024.101304	expression / single-cell matrices (CNSA)	https://db.cngb.org/data_resources/project/CNP0004755/		data/CNP/CNP0004755	login CNGBdb; processed matrices only (skip FASTQ)	
