accession	page_url	dest_dir	n_files	example_files	https_base	dois	note
OMIX001298	https://ngdc.cncb.ac.cn/omix/release/OMIX001298	data/OMIX/OMIX001298	10	OMIX001298-01.zip; OMIX001298-02.zip; OMIX001298-03.zip; OMIX001298-04.zip; OMIX001298-05.zip; OMIX001298-06.zip; OMIX001298-07.zip; OMIX001298-08.zip	https://download.cncb.ac.cn/OMIX/OMIX001298/	10.1038/s41420-023-01569-w	Open-access HTTPS; use download_omix.py
OMIX001319	https://ngdc.cncb.ac.cn/omix/release/OMIX001319	data/OMIX/OMIX001319	1	OMIX001319-01.zip	https://download.cncb.ac.cn/OMIX/OMIX001319/	10.1038/s41420-023-01569-w	Open-access HTTPS; use download_omix.py
OMIX003867	https://ngdc.cncb.ac.cn/omix/release/OMIX003867	data/OMIX/OMIX003867	3	OMIX003867-01.zip; OMIX003867-02.zip; OMIX003867-03.zip	https://download.cncb.ac.cn/OMIX/OMIX003867/	10.1093/bib/bbaf644	Open-access HTTPS; use download_omix.py
OMIX006111	https://ngdc.cncb.ac.cn/omix/release/OMIX006111	data/OMIX/OMIX006111	2	OMIX006111-01.h5; OMIX006111-03.tif	https://download.cncb.ac.cn/OMIX/OMIX006111/	10.1186/s12864-024-10672-w	Open-access HTTPS; use download_omix.py
OMIX007362	https://ngdc.cncb.ac.cn/omix/release/OMIX007362	data/OMIX/OMIX007362	3	OMIX007362-01.tar.gz; OMIX007362-02.tar.gz; OMIX007362-03.tar.gz	https://download.cncb.ac.cn/OMIX/OMIX007362/	10.1038/s41556-025-01838-z	Open-access HTTPS; use download_omix.py
OMIX011674	https://ngdc.cncb.ac.cn/omix/release/OMIX011674	data/OMIX/OMIX011674	8	OMIX011674-01.ibd; OMIX011674-02.tif; OMIX011674-03.imzML; OMIX011674-04.tar.gz; OMIX011674-05.tissue.gef; OMIX011674-06.rds; OMIX011674-07.rds; OMIX011674-09.txt	https://download.cncb.ac.cn/OMIX/OMIX011674/	10.1093/gigascience/giag033	Open-access HTTPS; use download_omix.py
